MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
7382158,171141360,04/24/2017,04/24/2017,11:30:00,04/24/2017,12:09:00,210,,,3318 LENOX PL NE,0710,2404,,1,Day,Mon,13,AUTO THEFT,Pine Hills,B,-84.354280000000003,33.845440000000004
7382159,171141362,04/24/2017,04/23/2017,16:00:00,04/24/2017,12:09:00,308,,,2043 PHILLIPS DR SE,0440,1399,20,1,Unk,Mon,,AGG ASSAULT,Thomasville Heights,Z,-84.354060000000004,33.698070000000001
7382160,171141416,04/24/2017,04/24/2017,12:00:00,04/24/2017,12:30:00,411,,,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,0630,2303,10,1,Day,Mon,24,LARCENY-NON VEHICLE,Greenbriar,R,-84.497730000000004,33.686770000000003
7382161,171141443,04/24/2017,04/24/2017,12:40:00,04/24/2017,12:45:00,211,,,2539 PIEDMONT RD NE @TARGET - PIEDMONT,0630,2303,10,1,Day,Mon,8,LARCENY-NON VEHICLE,Lindbergh/Morosgo,B,-84.363280000000003,33.82403
7382162,171141536,04/24/2017,04/24/2017,11:30:00,04/24/2017,11:45:00,208,,,3232 PEACHTREE RD NE,0630,2303,,1,Day,Mon,8,LARCENY-NON VEHICLE,Buckhead Forest,B,-84.374089999999995,33.84413
7382163,171141545,04/24/2017,04/24/2017,07:00:00,04/24/2017,12:00:00,113,,,2783 BROWNTOWN RD NW,0511,2202,,1,Day,Mon,20,BURGLARY-RESIDENCE,Lincoln Homes,G,-84.479290000000006,33.801650000000002
7382164,171141569,04/24/2017,04/24/2017,13:45:00,04/24/2017,13:50:00,504,,,400 W PEACHTREE ST NW,0640,2305,,1,Day,Mon,18,LARCENY-FROM VEHICLE,Downtown,M,-84.387600000000006,33.76614
7382165,171141587,04/24/2017,04/22/2017,13:00:00,04/23/2017,16:30:00,607,,,551 MORELAND AVE SE,0710,2404,,1,Unk,Sun,18,AUTO THEFT,Ormewood Park,W,-84.349590000000006,33.739130000000003
7382166,171141588,04/24/2017,04/24/2017,13:30:00,04/24/2017,13:50:00,201,,,2000 MOORES MILL RD NW,0640,2305,,1,Day,Mon,28,LARCENY-FROM VEHICLE,,C,-84.450630000000004,33.820810000000002
7382167,171141619,04/24/2017,04/22/2017,18:30:00,04/24/2017,10:30:00,109,,,533 PARK VALLEY DR NW,0511,2202,,1,Unk,Unk,20,BURGLARY-RESIDENCE,Center Hill,J,-84.462360000000004,33.769550000000002
7382168,171141622,04/24/2017,04/23/2017,18:20:00,04/23/2017,18:20:00,107,,,514 PELTON PL NW,0690,2399,20,1,Eve,Sun,20,LARCENY-NON VEHICLE,Grove Park,J,-84.4529,33.769329999999997
7382169,171141644,04/24/2017,04/22/2017,04:00:00,04/24/2017,15:30:00,303,,,180 RALPH DAVID ABERNATHY BLVD,0710,2404,,1,Unk,Unk,23,AUTO THEFT,Mechanicsville,V,-84.395060000000001,33.733879999999999
7382170,171141656,04/24/2017,04/24/2017,14:30:00,04/24/2017,15:45:00,107,,,2058 CHICAGO AVE NW,0511,2202,,1,Eve,Mon,20,BURGLARY-RESIDENCE,Grove Park,J,-84.455079999999995,33.764380000000003
7382171,171141673,04/24/2017,04/24/2017,14:54:00,04/24/2017,14:54:00,103,,,648 JONES AVE NW,0410,1314,,1,Day,Mon,20,AGG ASSAULT,English Avenue,L,-84.408730000000006,33.764090000000003
7382172,171141687,04/24/2017,04/24/2017,14:05:00,04/24/2017,14:15:00,203,,,2018 BOLTON RD NW,0640,2305,,1,Day,Mon,23,LARCENY-FROM VEHICLE,Whittier Mill Village,D,-84.477029999999999,33.811160000000001
7382173,171141704,04/24/2017,04/17/2017,14:00:00,04/24/2017,15:09:00,404,,,1685 RALPH D ABERNATHY BLVD SW,0650,2304,,1,Unk,Unk,23,LARCENY-FROM VEHICLE,,I,-84.442499999999995,33.748510000000003
7382174,171141730,04/24/2017,04/24/2017,15:13:00,04/24/2017,15:13:00,211,,,2452 MOROSGO WAY NE,0610,2301,,1,Eve,Mon,13,LARCENY-NON VEHICLE,Lindbergh/Morosgo,B,-84.365589999999997,33.822949999999999
7382175,171141838,04/24/2017,04/23/2017,22:00:00,04/24/2017,16:06:00,306,,,1536 LANGSTON AVE SW,0521,2204,,1,Unk,Mon,20,BURGLARY-RESIDENCE,Sylvan Hills,X,-84.423490000000001,33.713039999999999
7382176,171141855,04/24/2017,04/24/2017,15:30:00,04/24/2017,16:10:00,211,,100,2625 PIEDMONT RD NE,0670,2308,,1,Eve,Mon,,LARCENY-NON VEHICLE,Lindbergh/Morosgo,B,-84.366990000000001,33.826779999999999
7382177,171141871,04/24/2017,04/24/2017,16:00:00,04/24/2017,16:50:00,401,,,LEE ST SW / OAK ST SW,0640,2305,,1,Eve,Mon,21,LARCENY-FROM VEHICLE,West End,T,-84.414069999999995,33.74062
7382178,171141959,04/24/2017,04/22/2017,14:04:00,04/22/2017,14:04:00,612,,,1267 GLENWOOD AVE SE,0630,2303,40,1,Day,Sat,24,LARCENY-NON VEHICLE,East Atlanta,W,-84.346119999999999,33.740029999999997
7382179,171141964,04/24/2017,04/24/2017,16:15:00,04/24/2017,18:00:00,609,,,1275 CAROLINE ST NE @TARGET - CAROLINE,0630,2303,10,1,Eve,Mon,12,LARCENY-NON VEHICLE,Edgewood,O,-84.346190000000007,33.756740000000001
7382180,171142004,04/24/2017,04/24/2017,16:55:00,04/24/2017,17:10:00,501,,,1085 HOWELL MILL RD NW,0670,2308,,1,Eve,Mon,99,LARCENY-NON VEHICLE,Home Park,E,-84.411420000000007,33.784550000000003
7382181,171142053,04/24/2017,04/24/2017,17:21:00,04/24/2017,17:21:00,110,,,1903 DREW DR NW,0670,2308,40,1,Eve,Mon,26,LARCENY-NON VEHICLE,West Highlands,G,-84.449470000000005,33.792140000000003
7382182,171142074,04/24/2017,04/17/2017,00:00:00,04/24/2017,17:28:00,409,,,1847 CHILDRESS DR SW,0690,2399,,1,Unk,Unk,20,LARCENY-NON VEHICLE,Southwest,R,-84.488489999999999,33.705150000000003
7382183,171142084,04/24/2017,04/24/2017,16:40:00,04/24/2017,16:55:00,102,,,82 ELECTRIC AVE NW,0640,2305,,2,Eve,Mon,13,LARCENY-FROM VEHICLE,Vine City,L,-84.404449999999997,33.756839999999997
7382184,171142167,04/24/2017,04/24/2017,11:15:00,04/24/2017,17:20:00,601,,B-1,897 N HIGHLAND AVE NE,0531,2202A,,1,Day,Mon,,BURGLARY-RESIDENCE,Virginia Highland,F,-84.352980000000002,33.779060000000001
7382185,171142214,04/24/2017,04/24/2017,17:40:00,04/24/2017,18:13:00,603,,,215 NORTH AVE NE @SAVANNAH MIDTOWN,0640,2305,,2,Eve,Mon,18,LARCENY-FROM VEHICLE,Old Fourth Ward,M,-84.380340000000004,33.770600000000002
7382186,171142375,04/24/2017,04/22/2017,04:30:00,04/23/2017,23:30:00,602,,,454 SEMINOLE AVE NE,0640,2305,,1,Unk,Sun,13,LARCENY-FROM VEHICLE,Inman Park,N,-84.350219999999993,33.766249999999999
7382187,171142377,04/24/2017,04/24/2017,20:00:00,04/24/2017,20:30:00,105,,,1641 EZRA CHURCH ST,0511,2202,,1,Eve,Mon,,BURGLARY-RESIDENCE,West Lake,J,-84.440899999999999,33.760730000000002
7382188,171142402,04/24/2017,04/22/2017,15:30:00,04/24/2017,19:31:00,606,,,1103 HARDEE ST NE;,0690,2399,,1,Unk,Unk,20,LARCENY-NON VEHICLE,Reynoldstown,N,-84.351560000000006,33.755249999999997
7382189,171142423,04/24/2017,04/22/2017,17:00:00,04/23/2017,07:30:00,609,,,190 MARION PL NE,0690,2399,,1,Morn,Sun,20,LARCENY-NON VEHICLE,Edgewood,O,-84.345200000000006,33.759079999999997
7382190,171142487,04/24/2017,04/23/2017,20:00:00,04/24/2017,12:00:00,401,,,935 WHITE ST SW,0710,2404,,1,Unk,Mon,20,AUTO THEFT,West End,T,-84.418400000000005,33.73245
7382191,171142496,04/24/2017,04/24/2017,20:08:00,04/24/2017,20:12:00,402,,,1450 DONNELLY AVE SW,0410,1314,10,1,Eve,Mon,23,AGG ASSAULT,West End,T,-84.434790000000007,33.737720000000003
7382192,171142581,04/24/2017,04/24/2017,21:02:00,04/24/2017,21:02:00,408,,,1587 ALDER LN SW,0430,1315,10,1,Eve,Mon,20,AGG ASSAULT,Venetian Hills,S,-84.448769999999996,33.712359999999997
7382193,171142594,06/04/2017,04/24/2017,20:54:00,04/24/2017,21:04:00,306,,,1959 METROPOLITAN PKWY SW,0420,1315K,,1,Eve,Mon,24,AGG ASSAULT,Sylvan Hills,X,-84.410179999999997,33.700800000000001
7382194,171142638,04/24/2017,04/24/2017,20:30:00,04/24/2017,21:05:00,213,,,1811 PIEDMONT AVE NE,0640,2305,,1,Eve,Mon,,LARCENY-FROM VEHICLE,Morningside/Lenox Park,F,-84.36712,33.804609999999997
7382195,171142715,04/24/2017,01/24/2017,18:00:00,04/24/2017,18:00:00,106,APT,8,1315 JOSEPH E BOONE BLVD NW,0640,2305,,1,Unk,Unk,26,LARCENY-FROM VEHICLE,Bankhead,K,-84.430760000000006,33.763620000000003
7382196,171142753,04/24/2017,04/24/2017,22:25:00,04/24/2017,22:30:00,504,,,850 NORTHSIDE DR NW,0630,2303,,1,Eve,Mon,24,LARCENY-NON VEHICLE,Marietta Street Artery,E,-84.407730000000001,33.77807
7382197,171142767,04/24/2017,04/24/2017,18:45:00,04/24/2017,22:54:00,502,,,1280 W PEACHTREE ST NW,0640,2305,,1,Eve,Mon,18,LARCENY-FROM VEHICLE,Midtown,E,-84.388120000000001,33.789709999999999
7382198,171142778,04/24/2017,04/24/2017,14:00:00,04/24/2017,22:30:00,503,,,132 10TH ST NE,0640,2305,,1,Eve,Mon,18,LARCENY-FROM VEHICLE,Midtown,E,-84.382900000000006,33.782220000000002
7382199,171142780,04/24/2017,04/24/2017,23:18:00,04/25/2017,23:20:00,114,,,3200 ATLANTA INDUSTRIAL PKWY NW,0640,2305,,1,Unk,Tue,18,LARCENY-FROM VEHICLE,Atlanta Industrial Park,G,-84.496219999999994,33.791640000000001
7382200,171142802,04/24/2017,04/24/2017,23:15:00,04/24/2017,23:15:00,606,,,145 CLEVELAND ST SE,0640,2305,,1,Morn,Mon,13,LARCENY-FROM VEHICLE,Reynoldstown,N,-84.350579999999994,33.74962
7382201,171142810,04/20/2017,04/20/2017,19:30:00,04/20/2017,21:30:00,203,,,1271 MARIETTA BLVD NW,0710,2404,,1,Eve,Thu,,AUTO THEFT,Blandtown,D,-84.428190000000001,33.789490000000001
7382202,171142811,04/20/2017,04/20/2017,19:30:00,04/20/2017,21:30:00,203,,,1271 MARIETTA BLVD NW,0710,2404,,1,Eve,Thu,18,AUTO THEFT,Blandtown,D,-84.428190000000001,33.789490000000001
7382203,171150012,04/25/2017,04/24/2017,16:00:00,04/25/2017,00:03:00,406,,B-7,2367 CASCADE RD SW,0511,2202,,1,Eve,Mon,20,BURGLARY-RESIDENCE,Cascade Heights,I,-84.465699999999998,33.72166
7382204,171150014,04/25/2017,04/24/2017,22:30:00,04/25/2017,00:03:00,604,,,444 EDGEWOOD AVE NE,0640,2305,,4,Morn,Mon,18,LARCENY-FROM VEHICLE,Sweet Auburn,M,-84.373040000000003,33.7545
7382205,171150094,04/25/2017,04/24/2017,22:20:00,04/25/2017,00:15:00,501,,,470 16TH ST NW,0640,2305,,1,Morn,Mon,18,LARCENY-FROM VEHICLE,Home Park,E,-84.405000000000001,33.787640000000003
7382206,171150143,04/25/2017,04/24/2017,21:30:00,04/25/2017,01:00:00,207,APT,3503,1700 NORTHSIDE DR NW,0640,2305,,1,Morn,Mon,18,LARCENY-FROM VEHICLE,Berkeley Park,D,-84.407910000000001,33.801209999999998
7382207,171150359,04/25/2017,04/25/2017,02:25:00,04/25/2017,02:54:00,310,,12,2602 OLD HAPEVILLE RD SW,0440,1399,,1,Morn,Tue,20,AGG ASSAULT,Browns Mill Park,Z,-84.393690000000007,33.68347
7382208,171150471,04/25/2017,04/24/2017,20:00:00,04/25/2017,03:59:00,511,,,98 PRYOR ST SW,0640,2305,,1,Morn,Mon,18,LARCENY-FROM VEHICLE,Downtown,M,-84.390309999999999,33.75188
7382209,171150551,04/25/2017,04/25/2017,01:30:00,04/25/2017,04:46:00,103,,,720 DONALD LEE HOLLOWELL PKWY NW,0311,1204,,1,Morn,Tue,,ROBBERY-PEDESTRIAN,English Avenue,L,-84.410889999999995,33.772759999999998
7382210,171150649,04/25/2017,04/25/2017,02:30:00,04/25/2017,05:50:00,412,,,3401 MOUNT GILEAD RD SW,0690,2399,,1,Morn,Tue,20,LARCENY-NON VEHICLE,Heritage Valley,P,-84.500820000000004,33.699159999999999
7382211,171150655,04/25/2017,04/25/2017,06:00:00,04/25/2017,06:12:00,105,,,1079 MAYSON TURNER RD NW,0511,2202,,1,Morn,Tue,20,BURGLARY-RESIDENCE,Washington Park,K,-84.422489999999996,33.762439999999998
7382212,171150673,04/25/2017,03/10/2017,15:00:00,03/12/2017,15:00:00,114,,,959 FAIRBURN RD,0521,2204,,1,Unk,Unk,20,BURGLARY-RESIDENCE,Carroll Heights,H,-84.503789999999995,33.779949999999999
7382213,171150691,04/25/2017,04/25/2017,06:30:00,04/25/2017,06:40:00,402,,,1156 RALPH D ABERNATHY BLVD SW,0410,1314,,1,Morn,Tue,21,AGG ASSAULT,West End,T,-84.425880000000006,33.73818
7382214,171150697,04/25/2017,04/24/2017,16:30:00,04/25/2017,06:30:00,503,,,44 8TH ST NW,0640,2305,,1,Morn,Mon,18,LARCENY-FROM VEHICLE,Midtown,E,-84.388810000000007,33.779499999999999
7382215,171150702,04/25/2017,04/24/2017,19:00:00,04/25/2017,06:30:00,211,,,815 SIDNEY MARCUS BLVD NE,0710,2404,,1,Morn,Tue,24,AUTO THEFT,Lindbergh/Morosgo,B,-84.361009999999993,33.82414
7382216,171150713,04/25/2017,04/25/2017,00:00:00,04/25/2017,06:58:00,302,,,537 ARTHUR ST SW,0640,2305,,1,Morn,Tue,20,LARCENY-FROM VEHICLE,Pittsburgh,V,-84.405519999999996,33.728549999999998
7382217,171150726,04/25/2017,04/25/2017,07:06:00,04/25/2017,07:06:00,103,,,781 WHEELER ST NW,0640,2305,,3,Day,Tue,13,LARCENY-FROM VEHICLE,English Avenue,L,-84.414649999999995,33.774610000000003
7382218,171150738,04/25/2017,04/24/2017,23:30:00,04/25/2017,00:15:00,501,,,1132 TECHWOOD DR NW @COURTYARD BY MARRIOT,0640,2305,,7,Morn,Mon,18,LARCENY-FROM VEHICLE,Home Park,E,-84.39273,33.785499999999999
7382219,171150784,04/25/2017,04/25/2017,00:00:00,04/25/2017,07:37:00,305,,2005,177 MOURY AVE SW,0710,2404,,1,Morn,Tue,26,AUTO THEFT,The Villages at Carver,Y,-84.390519999999995,33.713479999999997
7382220,171150877,04/25/2017,04/25/2017,01:35:00,04/25/2017,08:00:00,509,,,607 PEACHTREE ST NE,0522,2205,,1,Morn,Tue,4,BURGLARY-NONRES,Downtown,M,-84.384399999999999,33.770960000000002
